product_id,product_name,category
S01,มันฝรั่งทอด,ขนม
S02,ขนมปังกรอบ,ขนม
S03,ช็อกโกแลต,ขนม
S04,เวเฟอร์,ขนม
S05,คุกกี้,ขนม
S06,ข้าวเกรียบ,ขนม
S07,เยลลี่,ขนม
S08,ถั่วอบ,ขนม
S09,ขนมแท่ง,ขนม
S10,เค้ก,ขนม
D01,น้ำดื่ม,เครื่องดื่ม
D02,น้ำแร่,เครื่องดื่ม
D03,น้ำอัดลม,เครื่องดื่ม
D04,ชาเขียว,เครื่องดื่ม
D05,เครื่องดื่มวิตามิน,เครื่องดื่ม
D06,กาแฟกระป๋อง,เครื่องดื่ม
D07,นมถั่วเหลือง,เครื่องดื่ม
D08,น้ำผลไม้,เครื่องดื่ม
H01,สบู่ก้อน,ของใช้
H02,แชมพู,ของใช้
H03,ยาสีฟัน,ของใช้
H04,กระดาษทิชชู่,ของใช้
H05,ผงซักฟอก,ของใช้
H06,น้ำยาล้างจาน,ของใช้
H07,ถ่านไฟฉาย,ของใช้
