order_id,order_time,customer_id,customer_name,is_member,product_id,product_name,category,quantity,unit_price,sales_amount,unit_cost,cost_amount,profit
O0001,2026-08-08 14:46:00,C003,ลูกค้า 3,True,S10,เค้ก,ขนม,3,21,63,13,39,24
O0001,2026-08-08 14:46:00,C003,ลูกค้า 3,True,W04,ชาเขียว,เครื่องดื่ม,3,25,75,15,45,30
O0001,2026-08-08 14:46:00,C003,ลูกค้า 3,True,S05,คุกกี้,ขนม,1,18,18,12,12,6
O0001,2026-08-08 14:46:00,C003,ลูกค้า 3,True,W03,น้ำอัดลม,เครื่องดื่ม,2,13,26,6,12,14
O0002,2026-08-09 07:02:00,C036,ลูกค้า 36,False,S02,ขนมปังกรอบ,ขนม,1,23,23,17,17,6
O0002,2026-08-09 07:02:00,C036,ลูกค้า 36,False,S05,คุกกี้,ขนม,2,18,36,12,24,12
O0002,2026-08-09 07:02:00,C036,ลูกค้า 36,False,S10,เค้ก,ขนม,3,21,63,13,39,24
O0002,2026-08-09 07:02:00,C036,ลูกค้า 36,False,W02,น้ำแร่,เครื่องดื่ม,4,17,68,7,28,40
O0003,2026-08-06 12:01:00,C022,ลูกค้า 22,False,S10,เค้ก,ขนม,4,21,84,13,52,32
O0003,2026-08-06 12:01:00,C022,ลูกค้า 22,False,W02,น้ำแร่,เครื่องดื่ม,3,17,51,7,21,30
O0003,2026-08-06 12:01:00,C022,ลูกค้า 22,False,S02,ขนมปังกรอบ,ขนม,4,23,92,17,68,24
O0004,2026-08-14 17:20:00,C038,ลูกค้า 38,False,S03,ช็อกโกแลต,ขนม,2,30,60,16,32,28
O0004,2026-08-14 17:20:00,C038,ลูกค้า 38,False,W04,ชาเขียว,เครื่องดื่ม,4,25,100,15,60,40
O0004,2026-08-14 17:20:00,C038,ลูกค้า 38,False,S10,เค้ก,ขนม,1,21,21,13,13,8
O0005,2026-08-13 09:09:00,C025,ลูกค้า 25,True,W04,ชาเขียว,เครื่องดื่ม,3,25,75,15,45,30
O0006,2026-08-16 10:17:00,C012,ลูกค้า 12,True,S01,มันฝรั่งทอด,ขนม,4,18,72,12,48,24
O0007,2026-08-01 21:07:00,C038,ลูกค้า 38,False,W03,น้ำอัดลม,เครื่องดื่ม,4,13,52,6,24,28
O0007,2026-08-01 21:07:00,C038,ลูกค้า 38,False,W04,ชาเขียว,เครื่องดื่ม,1,25,25,15,15,10
O0008,2026-08-28 18:44:00,C001,ลูกค้า 1,True,S04,เวเฟอร์,ขนม,2,18,36,13,26,10
O0009,2026-08-25 12:49:00,C015,ลูกค้า 15,False,S10,เค้ก,ขนม,4,21,84,13,52,32
O0010,2026-08-02 15:47:00,C006,ลูกค้า 6,True,S02,ขนมปังกรอบ,ขนม,4,23,92,17,68,24
O0011,2026-08-29 08:24:00,C042,ลูกค้า 42,True,S08,ถั่วอบ,ขนม,1,19,19,8,8,11
O0012,2026-08-21 17:57:00,C037,ลูกค้า 37,False,S04,เวเฟอร์,ขนม,4,18,72,13,52,20
O0012,2026-08-21 17:57:00,C037,ลูกค้า 37,False,S03,ช็อกโกแลต,ขนม,3,30,90,16,48,42
O0013,2026-08-18 19:21:00,C027,ลูกค้า 27,True,S04,เวเฟอร์,ขนม,3,18,54,13,39,15
O0013,2026-08-18 19:21:00,C027,ลูกค้า 27,True,S07,เยลลี่,ขนม,2,25,50,18,36,14
