transaction_id,order_id,order_time,customer_id,product_id,quantity,unit_price,unit_cost,sales_amount,discount_amount,net_sales_amount,cost_amount,profit
1,O0001,2026-08-18 17:20:00,C014,D03,2,19,12,38,0.0,38.0,24,14.0
2,O0001,2026-08-18 17:20:00,C014,S03,2,30,16,60,0.0,60.0,32,28.0
3,O0002,2026-08-29 18:18:00,C022,S01,2,33,18,66,0.0,66.0,36,30.0
4,O0002,2026-08-29 18:18:00,C022,D08,4,22,15,88,0.0,88.0,60,28.0
5,O0003,2026-08-10 08:55:00,C044,H06,2,50,34,100,0.0,100.0,68,32.0
6,O0003,2026-08-10 08:55:00,C044,H02,2,44,27,88,0.0,88.0,54,34.0
7,O0004,2026-08-18 10:25:00,C024,S10,1,33,18,33,0.0,33.0,18,15.0
8,O0004,2026-08-18 10:25:00,C024,S04,4,19,12,76,0.0,76.0,48,28.0
9,O0004,2026-08-18 10:25:00,C024,H07,2,38,21,76,0.0,76.0,42,34.0
10,O0004,2026-08-18 10:25:00,C024,S03,3,30,16,90,0.0,90.0,48,42.0
11,O0004,2026-08-18 10:25:00,C024,S07,3,18,9,54,0.0,54.0,27,27.0
12,O0005,2026-08-18 20:31:00,C007,S04,1,19,12,19,0.0,19.0,12,7.0
13,O0005,2026-08-18 20:31:00,C007,S10,2,33,18,66,0.0,66.0,36,30.0
14,O0005,2026-08-18 20:31:00,C007,H06,2,50,34,100,0.0,100.0,68,32.0
15,O0006,2026-08-05 14:55:00,C047,D01,4,18,8,72,1.0,71.0,32,39.0
16,O0007,2026-08-10 08:23:00,C014,S06,4,22,9,88,0.0,88.0,36,52.0
17,O0008,2026-08-29 21:10:00,C001,H03,1,55,35,55,0.0,55.0,35,20.0
18,O0008,2026-08-29 21:10:00,C001,S04,4,19,12,76,0.0,76.0,48,28.0
19,O0009,2026-08-29 08:34:00,C027,H04,2,50,32,100,0.0,100.0,64,36.0
20,O0009,2026-08-29 08:34:00,C027,H07,2,38,21,76,0.0,76.0,42,34.0
21,O0009,2026-08-29 08:34:00,C027,H02,2,44,27,88,0.0,88.0,54,34.0
22,O0010,2026-08-26 19:08:00,C021,H01,2,58,35,116,0.0,116.0,70,46.0
23,O0011,2026-08-26 18:13:00,C010,S03,1,30,16,30,0.0,30.0,16,14.0
24,O0011,2026-08-26 18:13:00,C010,H05,1,35,20,35,0.0,35.0,20,15.0
25,O0012,2026-08-16 10:35:00,C048,D04,1,16,8,16,0.0,16.0,8,8.0
26,O0013,2026-08-03 10:10:00,C011,S07,4,18,9,72,0.0,72.0,36,36.0
27,O0014,2026-08-16 14:04:00,C045,H05,1,35,20,35,0.0,35.0,20,15.0
28,O0014,2026-08-16 14:04:00,C045,D06,3,14,6,42,0.0,42.0,18,24.0
29,O0015,2026-08-02 19:27:00,C005,D01,1,18,8,18,0.0,18.0,8,10.0
30,O0016,2026-08-28 08:05:00,C016,S10,4,33,18,132,0.0,132.0,72,60.0
31,O0016,2026-08-28 08:05:00,C016,H05,1,35,20,35,0.0,35.0,20,15.0
32,O0016,2026-08-28 08:05:00,C016,H03,1,55,35,55,0.0,55.0,35,20.0
33,O0017,2026-08-02 13:15:00,C025,S01,4,33,18,132,0.0,132.0,72,60.0
34,O0017,2026-08-02 13:15:00,C025,D06,4,14,6,56,0.0,56.0,24,32.0
35,O0017,2026-08-02 13:15:00,C025,S04,2,19,12,38,0.0,38.0,24,14.0
36,O0017,2026-08-02 13:15:00,C025,D02,1,17,8,17,0.0,17.0,8,9.0
37,O0018,2026-08-14 14:41:00,C009,S10,2,33,18,66,0.0,66.0,36,30.0
38,O0019,2026-08-25 07:11:00,C016,D08,4,22,15,88,0.0,88.0,60,28.0
39,O0019,2026-08-25 07:11:00,C016,S04,3,19,12,57,0.0,57.0,36,21.0
40,O0019,2026-08-25 07:11:00,C016,S02,1,15,9,15,0.0,15.0,9,6.0
41,O0019,2026-08-25 07:11:00,C016,S05,2,13,8,26,0.0,26.0,16,10.0
42,O0020,2026-08-18 08:21:00,C011,S07,1,18,9,18,0.0,18.0,9,9.0
43,O0020,2026-08-18 08:21:00,C011,D04,4,16,8,64,0.0,64.0,32,32.0
44,O0020,2026-08-18 08:21:00,C011,H05,1,35,20,35,0.0,35.0,20,15.0
45,O0020,2026-08-18 08:21:00,C011,S08,4,16,9,64,0.0,64.0,36,28.0
46,O0020,2026-08-18 08:21:00,C011,H04,1,50,32,50,0.0,50.0,32,18.0
47,O0021,2026-08-27 07:11:00,C047,S03,4,30,16,120,0.0,120.0,64,56.0
48,O0021,2026-08-27 07:11:00,C047,D03,4,19,12,76,0.0,76.0,48,28.0
49,O0021,2026-08-27 07:11:00,C047,D07,2,17,10,34,0.0,34.0,20,14.0
50,O0021,2026-08-27 07:11:00,C047,H05,2,35,20,70,0.0,70.0,40,30.0
51,O0022,2026-08-23 20:49:00,C038,H04,2,50,32,100,0.0,100.0,64,36.0
52,O0023,2026-08-14 11:23:00,C042,D06,2,14,6,28,0.0,28.0,12,16.0
53,O0023,2026-08-14 11:23:00,C042,H05,2,35,20,70,0.0,70.0,40,30.0
54,O0023,2026-08-14 11:23:00,C042,H02,2,44,27,88,0.0,88.0,54,34.0
55,O0023,2026-08-14 11:23:00,C042,S02,3,15,9,45,0.0,45.0,27,18.0
56,O0023,2026-08-14 11:23:00,C042,S01,4,33,18,132,0.0,132.0,72,60.0
57,O0024,2026-08-29 15:32:00,C023,S02,4,15,9,60,0.0,60.0,36,24.0
58,O0024,2026-08-29 15:32:00,C023,D04,4,16,8,64,0.0,64.0,32,32.0
59,O0024,2026-08-29 15:32:00,C023,H04,1,50,32,50,0.0,50.0,32,18.0
60,O0024,2026-08-29 15:32:00,C023,D07,3,17,10,51,0.0,51.0,30,21.0
61,O0025,2026-08-29 07:44:00,C010,S09,1,20,12,20,0.0,20.0,12,8.0
62,O0025,2026-08-29 07:44:00,C010,S02,4,15,9,60,0.0,60.0,36,24.0
63,O0025,2026-08-29 07:44:00,C010,D02,1,17,8,17,0.0,17.0,8,9.0
64,O0025,2026-08-29 07:44:00,C010,D06,2,14,6,28,0.0,28.0,12,16.0
65,O0025,2026-08-29 07:44:00,C010,S08,1,16,9,16,0.0,16.0,9,7.0
66,O0026,2026-08-20 11:23:00,C036,D07,2,17,10,34,0.0,34.0,20,14.0
67,O0027,2026-08-19 14:53:00,C002,S10,4,33,18,132,0.0,132.0,72,60.0
68,O0027,2026-08-19 14:53:00,C002,S06,1,22,9,22,0.0,22.0,9,13.0
69,O0028,2026-08-12 07:08:00,C021,D04,4,16,8,64,0.0,64.0,32,32.0
70,O0028,2026-08-12 07:08:00,C021,H03,1,55,35,55,0.0,55.0,35,20.0
71,O0029,2026-08-02 20:50:00,C031,D05,2,21,15,42,0.0,42.0,30,12.0
72,O0029,2026-08-02 20:50:00,C031,H06,1,50,34,50,0.0,50.0,34,16.0
73,O0029,2026-08-02 20:50:00,C031,S01,2,33,18,66,0.0,66.0,36,30.0
74,O0029,2026-08-02 20:50:00,C031,H03,1,55,35,55,0.0,55.0,35,20.0
75,O0029,2026-08-02 20:50:00,C031,S07,4,18,9,72,0.0,72.0,36,36.0
76,O0030,2026-08-16 08:07:00,C017,H03,2,55,35,110,0.0,110.0,70,40.0
77,O0030,2026-08-16 08:07:00,C017,S10,3,33,18,99,0.0,99.0,54,45.0
78,O0031,2026-08-10 15:57:00,C013,H05,1,35,20,35,0.0,35.0,20,15.0
79,O0031,2026-08-10 15:57:00,C013,S06,3,22,9,66,0.0,66.0,27,39.0
80,O0031,2026-08-10 15:57:00,C013,S01,3,33,18,99,0.0,99.0,54,45.0
81,O0032,2026-08-13 15:25:00,C014,S06,1,22,9,22,0.0,22.0,9,13.0
82,O0032,2026-08-13 15:25:00,C014,H02,1,44,27,44,0.0,44.0,27,17.0
83,O0032,2026-08-13 15:25:00,C014,S03,1,30,16,30,0.0,30.0,16,14.0
84,O0032,2026-08-13 15:25:00,C014,S01,3,33,18,99,0.0,99.0,54,45.0
85,O0032,2026-08-13 15:25:00,C014,S02,2,15,9,30,0.0,30.0,18,12.0
86,O0033,2026-08-11 11:12:00,C048,S03,1,30,16,30,0.0,30.0,16,14.0
87,O0033,2026-08-11 11:12:00,C048,H04,2,50,32,100,0.0,100.0,64,36.0
88,O0034,2026-08-17 21:01:00,C004,D01,3,18,8,54,0.0,54.0,24,30.0
89,O0034,2026-08-17 21:01:00,C004,S05,2,13,8,26,0.0,26.0,16,10.0
90,O0034,2026-08-17 21:01:00,C004,D08,4,22,15,88,0.0,88.0,60,28.0
91,O0034,2026-08-17 21:01:00,C004,S10,2,33,18,66,0.0,66.0,36,30.0
92,O0035,2026-08-14 18:40:00,C028,D01,3,18,8,54,0.0,54.0,24,30.0
93,O0035,2026-08-14 18:40:00,C028,S06,2,22,9,44,0.0,44.0,18,26.0
94,O0035,2026-08-14 18:40:00,C028,H07,1,38,21,38,0.0,38.0,21,17.0
95,O0035,2026-08-14 18:40:00,C028,D04,4,16,8,64,0.0,64.0,32,32.0
96,O0036,2026-08-13 12:48:00,C044,S10,1,33,18,33,0.0,33.0,18,15.0
97,O0036,2026-08-13 12:48:00,C044,D03,3,19,12,57,0.0,57.0,36,21.0
98,O0036,2026-08-13 12:48:00,C044,H05,1,35,20,35,0.0,35.0,20,15.0
99,O0037,2026-08-27 15:22:00,C034,D03,4,19,12,76,0.0,76.0,48,28.0
100,O0037,2026-08-27 15:22:00,C034,H03,2,55,35,110,0.0,110.0,70,40.0
101,O0037,2026-08-27 15:22:00,C034,S01,2,33,18,66,0.0,66.0,36,30.0
102,O0037,2026-08-27 15:22:00,C034,D04,4,16,8,64,0.0,64.0,32,32.0
103,O0038,2026-08-09 09:32:00,C025,S09,2,20,12,40,0.0,40.0,24,16.0
104,O0038,2026-08-09 09:32:00,C025,S08,3,16,9,48,0.0,48.0,27,21.0
105,O0039,2026-08-28 15:08:00,C030,S04,1,19,12,19,0.37,18.63,12,6.63
106,O0039,2026-08-28 15:08:00,C030,S02,4,15,9,60,1.18,58.82,36,22.82
107,O0039,2026-08-28 15:08:00,C030,D03,3,19,12,57,1.12,55.88,36,19.88
108,O0039,2026-08-28 15:08:00,C030,D07,1,17,10,17,0.33,16.67,10,6.67
109,O0040,2026-08-18 18:08:00,C009,H01,1,58,35,58,0.0,58.0,35,23.0
110,O0040,2026-08-18 18:08:00,C009,D03,1,19,12,19,0.0,19.0,12,7.0
111,O0041,2026-08-04 14:25:00,C018,S09,3,20,12,60,0.66,59.34,36,23.34
112,O0041,2026-08-04 14:25:00,C018,D06,1,14,6,14,0.15,13.85,6,7.85
113,O0041,2026-08-04 14:25:00,C018,H05,1,35,20,35,0.39,34.61,20,14.61
114,O0041,2026-08-04 14:25:00,C018,S10,4,33,18,132,1.46,130.54,72,58.54
115,O0041,2026-08-04 14:25:00,C018,S03,1,30,16,30,0.33,29.67,16,13.67
116,O0042,2026-08-02 20:36:00,C009,S01,4,33,18,132,0.0,132.0,72,60.0
117,O0042,2026-08-02 20:36:00,C009,H02,2,44,27,88,0.0,88.0,54,34.0
118,O0043,2026-08-22 21:32:00,C049,D01,2,18,8,36,0.0,36.0,16,20.0
119,O0043,2026-08-22 21:32:00,C049,S06,4,22,9,88,0.0,88.0,36,52.0
120,O0044,2026-08-06 09:54:00,C050,S05,2,13,8,26,0.0,26.0,16,10.0
121,O0044,2026-08-06 09:54:00,C050,D06,1,14,6,14,0.0,14.0,6,8.0
122,O0045,2026-08-06 12:53:00,C017,S08,1,16,9,16,0.0,16.0,9,7.0
123,O0045,2026-08-06 12:53:00,C017,H03,1,55,35,55,0.0,55.0,35,20.0
124,O0046,2026-08-01 14:38:00,C038,S07,1,18,9,18,1.0,17.0,9,8.0
125,O0047,2026-08-04 18:17:00,C043,D01,3,18,8,54,0.75,53.25,24,29.25
126,O0047,2026-08-04 18:17:00,C043,S07,1,18,9,18,0.25,17.75,9,8.75
127,O0048,2026-08-30 20:30:00,C019,D02,1,17,8,17,0.0,17.0,8,9.0
128,O0048,2026-08-30 20:30:00,C019,H07,2,38,21,76,0.0,76.0,42,34.0
129,O0049,2026-08-17 19:39:00,C025,D08,2,22,15,44,0.0,44.0,30,14.0
130,O0049,2026-08-17 19:39:00,C025,H02,1,44,27,44,0.0,44.0,27,17.0
131,O0049,2026-08-17 19:39:00,C025,D06,3,14,6,42,0.0,42.0,18,24.0
132,O0050,2026-08-25 10:14:00,C038,H05,2,35,20,70,0.0,70.0,40,30.0
133,O0050,2026-08-25 10:14:00,C038,D04,2,16,8,32,0.0,32.0,16,16.0
134,O0050,2026-08-25 10:14:00,C038,D01,4,18,8,72,0.0,72.0,32,40.0
135,O0050,2026-08-25 10:14:00,C038,D05,1,21,15,21,0.0,21.0,15,6.0
136,O0051,2026-08-24 19:54:00,C039,H02,2,44,27,88,0.0,88.0,54,34.0
137,O0051,2026-08-24 19:54:00,C039,S01,3,33,18,99,0.0,99.0,54,45.0
138,O0051,2026-08-24 19:54:00,C039,D01,4,18,8,72,0.0,72.0,32,40.0
139,O0052,2026-08-18 12:45:00,C042,D06,3,14,6,42,0.0,42.0,18,24.0
140,O0052,2026-08-18 12:45:00,C042,S09,2,20,12,40,0.0,40.0,24,16.0
141,O0053,2026-08-16 10:14:00,C005,S06,1,22,9,22,0.0,22.0,9,13.0
142,O0053,2026-08-16 10:14:00,C005,H06,2,50,34,100,0.0,100.0,68,32.0
143,O0053,2026-08-16 10:14:00,C005,S03,2,30,16,60,0.0,60.0,32,28.0
144,O0053,2026-08-16 10:14:00,C005,S09,2,20,12,40,0.0,40.0,24,16.0
145,O0053,2026-08-16 10:14:00,C005,D08,4,22,15,88,0.0,88.0,60,28.0
146,O0054,2026-08-25 12:35:00,C034,S06,3,22,9,66,0.0,66.0,27,39.0
147,O0055,2026-08-29 16:27:00,C013,D06,2,14,6,28,0.0,28.0,12,16.0
148,O0055,2026-08-29 16:27:00,C013,D01,1,18,8,18,0.0,18.0,8,10.0
149,O0055,2026-08-29 16:27:00,C013,D02,3,17,8,51,0.0,51.0,24,27.0
150,O0055,2026-08-29 16:27:00,C013,S07,2,18,9,36,0.0,36.0,18,18.0
151,O0055,2026-08-29 16:27:00,C013,H06,1,50,34,50,0.0,50.0,34,16.0
152,O0056,2026-08-13 19:20:00,C050,S01,2,33,18,66,0.0,66.0,36,30.0
153,O0056,2026-08-13 19:20:00,C050,S05,3,13,8,39,0.0,39.0,24,15.0
154,O0056,2026-08-13 19:20:00,C050,S08,2,16,9,32,0.0,32.0,18,14.0
155,O0057,2026-08-13 19:56:00,C038,S02,2,15,9,30,0.23,29.77,18,11.77
156,O0057,2026-08-13 19:56:00,C038,H04,2,50,32,100,0.77,99.23,64,35.23
157,O0058,2026-08-27 18:52:00,C022,D01,2,18,8,36,0.0,36.0,16,20.0
158,O0058,2026-08-27 18:52:00,C022,H01,1,58,35,58,0.0,58.0,35,23.0
159,O0058,2026-08-27 18:52:00,C022,H05,1,35,20,35,0.0,35.0,20,15.0
160,O0058,2026-08-27 18:52:00,C022,D07,4,17,10,68,0.0,68.0,40,28.0
161,O0058,2026-08-27 18:52:00,C022,H07,1,38,21,38,0.0,38.0,21,17.0
162,O0059,2026-08-18 07:27:00,C002,D02,3,17,8,51,0.0,51.0,24,27.0
163,O0059,2026-08-18 07:27:00,C002,H03,2,55,35,110,0.0,110.0,70,40.0
164,O0060,2026-08-09 09:10:00,C046,S09,2,20,12,40,0.0,40.0,24,16.0
165,O0061,2026-08-15 17:21:00,C027,H02,1,44,27,44,0.0,44.0,27,17.0
166,O0061,2026-08-15 17:21:00,C027,D06,2,14,6,28,0.0,28.0,12,16.0
167,O0061,2026-08-15 17:21:00,C027,S08,3,16,9,48,0.0,48.0,27,21.0
168,O0061,2026-08-15 17:21:00,C027,H01,1,58,35,58,0.0,58.0,35,23.0
169,O0061,2026-08-15 17:21:00,C027,S03,1,30,16,30,0.0,30.0,16,14.0
170,O0062,2026-08-14 13:52:00,C010,H01,1,58,35,58,0.0,58.0,35,23.0
171,O0062,2026-08-14 13:52:00,C010,S04,1,19,12,19,0.0,19.0,12,7.0
172,O0062,2026-08-14 13:52:00,C010,H02,1,44,27,44,0.0,44.0,27,17.0
173,O0062,2026-08-14 13:52:00,C010,S08,3,16,9,48,0.0,48.0,27,21.0
174,O0063,2026-08-18 10:20:00,C033,S08,4,16,9,64,0.0,64.0,36,28.0
175,O0063,2026-08-18 10:20:00,C033,S01,3,33,18,99,0.0,99.0,54,45.0
176,O0063,2026-08-18 10:20:00,C033,S10,4,33,18,132,0.0,132.0,72,60.0
177,O0063,2026-08-18 10:20:00,C033,H04,1,50,32,50,0.0,50.0,32,18.0
178,O0064,2026-08-02 17:32:00,C036,S03,1,30,16,30,0.0,30.0,16,14.0
179,O0064,2026-08-02 17:32:00,C036,D07,1,17,10,17,0.0,17.0,10,7.0
180,O0065,2026-08-11 21:32:00,C041,S09,1,20,12,20,0.0,20.0,12,8.0
181,O0066,2026-08-25 16:22:00,C037,S02,4,15,9,60,0.0,60.0,36,24.0
182,O0066,2026-08-25 16:22:00,C037,D04,2,16,8,32,0.0,32.0,16,16.0
183,O0067,2026-08-24 08:59:00,C034,S02,3,15,9,45,0.0,45.0,27,18.0
184,O0067,2026-08-24 08:59:00,C034,D06,2,14,6,28,0.0,28.0,12,16.0
185,O0067,2026-08-24 08:59:00,C034,S04,3,19,12,57,0.0,57.0,36,21.0
186,O0067,2026-08-24 08:59:00,C034,S03,1,30,16,30,0.0,30.0,16,14.0
187,O0067,2026-08-24 08:59:00,C034,H02,1,44,27,44,0.0,44.0,27,17.0
188,O0068,2026-08-19 14:02:00,C023,S04,3,19,12,57,0.42,56.58,36,20.58
189,O0068,2026-08-19 14:02:00,C023,D07,4,17,10,68,0.5,67.5,40,27.5
190,O0068,2026-08-19 14:02:00,C023,D04,1,16,8,16,0.12,15.88,8,7.88
191,O0068,2026-08-19 14:02:00,C023,S10,4,33,18,132,0.97,131.03,72,59.03
192,O0069,2026-08-13 08:56:00,C002,D06,2,14,6,28,0.0,28.0,12,16.0
193,O0069,2026-08-13 08:56:00,C002,S08,4,16,9,64,0.0,64.0,36,28.0
194,O0069,2026-08-13 08:56:00,C002,D01,1,18,8,18,0.0,18.0,8,10.0
195,O0070,2026-08-10 07:14:00,C007,D04,3,16,8,48,0.76,47.24,24,23.24
196,O0070,2026-08-10 07:14:00,C007,D01,1,18,8,18,0.28,17.72,8,9.72
197,O0070,2026-08-10 07:14:00,C007,D07,2,17,10,34,0.54,33.46,20,13.46
198,O0070,2026-08-10 07:14:00,C007,S03,3,30,16,90,1.42,88.58,48,40.58
199,O0071,2026-08-09 10:20:00,C024,S09,4,20,12,80,0.0,80.0,48,32.0
200,O0071,2026-08-09 10:20:00,C024,H03,2,55,35,110,0.0,110.0,70,40.0
201,O0071,2026-08-09 10:20:00,C024,H04,1,50,32,50,0.0,50.0,32,18.0
202,O0071,2026-08-09 10:20:00,C024,S03,2,30,16,60,0.0,60.0,32,28.0
203,O0072,2026-08-22 14:35:00,C030,S02,3,15,9,45,0.47,44.53,27,17.53
204,O0072,2026-08-22 14:35:00,C030,D02,3,17,8,51,0.53,50.47,24,26.47
205,O0073,2026-08-04 21:07:00,C007,H05,2,35,20,70,0.0,70.0,40,30.0
206,O0073,2026-08-04 21:07:00,C007,S05,3,13,8,39,0.0,39.0,24,15.0
207,O0073,2026-08-04 21:07:00,C007,D03,3,19,12,57,0.0,57.0,36,21.0
208,O0073,2026-08-04 21:07:00,C007,H07,2,38,21,76,0.0,76.0,42,34.0
209,O0073,2026-08-04 21:07:00,C007,D02,1,17,8,17,0.0,17.0,8,9.0
210,O0074,2026-08-21 07:44:00,C045,H01,1,58,35,58,0.0,58.0,35,23.0
211,O0074,2026-08-21 07:44:00,C045,S02,4,15,9,60,0.0,60.0,36,24.0
212,O0074,2026-08-21 07:44:00,C045,H07,2,38,21,76,0.0,76.0,42,34.0
213,O0074,2026-08-21 07:44:00,C045,D02,2,17,8,34,0.0,34.0,16,18.0
214,O0075,2026-08-10 20:08:00,C030,D04,4,16,8,64,0.39,63.61,32,31.61
215,O0075,2026-08-10 20:08:00,C030,S05,3,13,8,39,0.23,38.77,24,14.77
216,O0075,2026-08-10 20:08:00,C030,D05,3,21,15,63,0.38,62.62,45,17.62
217,O0076,2026-08-06 20:44:00,C032,H04,2,50,32,100,2.32,97.68,64,33.68
218,O0076,2026-08-06 20:44:00,C032,D01,3,18,8,54,1.25,52.75,24,28.75
219,O0076,2026-08-06 20:44:00,C032,H01,2,58,35,116,2.69,113.31,70,43.31
220,O0076,2026-08-06 20:44:00,C032,D04,2,16,8,32,0.74,31.26,16,15.26
221,O0077,2026-08-29 19:42:00,C043,H05,1,35,20,35,0.0,35.0,20,15.0
222,O0077,2026-08-29 19:42:00,C043,H06,2,50,34,100,0.0,100.0,68,32.0
223,O0077,2026-08-29 19:42:00,C043,S08,1,16,9,16,0.0,16.0,9,7.0
224,O0078,2026-08-29 15:44:00,C033,D07,4,17,10,68,0.0,68.0,40,28.0
225,O0078,2026-08-29 15:44:00,C033,S08,3,16,9,48,0.0,48.0,27,21.0
226,O0078,2026-08-29 15:44:00,C033,H06,1,50,34,50,0.0,50.0,34,16.0
227,O0078,2026-08-29 15:44:00,C033,H03,2,55,35,110,0.0,110.0,70,40.0
228,O0079,2026-08-14 12:21:00,C010,H05,2,35,20,70,0.0,70.0,40,30.0
229,O0079,2026-08-14 12:21:00,C010,H06,2,50,34,100,0.0,100.0,68,32.0
230,O0079,2026-08-14 12:21:00,C010,H01,2,58,35,116,0.0,116.0,70,46.0
231,O0080,2026-08-15 10:30:00,C048,D07,4,17,10,68,0.0,68.0,40,28.0
232,O0080,2026-08-15 10:30:00,C048,S10,3,33,18,99,0.0,99.0,54,45.0
233,O0080,2026-08-15 10:30:00,C048,S05,1,13,8,13,0.0,13.0,8,5.0
234,O0080,2026-08-15 10:30:00,C048,D03,2,19,12,38,0.0,38.0,24,14.0
235,O0080,2026-08-15 10:30:00,C048,D04,1,16,8,16,0.0,16.0,8,8.0
236,O0081,2026-08-22 11:35:00,C047,S05,1,13,8,13,0.0,13.0,8,5.0
237,O0082,2026-08-02 07:32:00,C019,D07,3,17,10,51,0.0,51.0,30,21.0
238,O0082,2026-08-02 07:32:00,C019,D05,1,21,15,21,0.0,21.0,15,6.0
239,O0082,2026-08-02 07:32:00,C019,D04,1,16,8,16,0.0,16.0,8,8.0
240,O0082,2026-08-02 07:32:00,C019,S01,3,33,18,99,0.0,99.0,54,45.0
241,O0083,2026-08-22 10:45:00,C019,H05,1,35,20,35,0.0,35.0,20,15.0
242,O0083,2026-08-22 10:45:00,C019,D02,3,17,8,51,0.0,51.0,24,27.0
243,O0083,2026-08-22 10:45:00,C019,S10,1,33,18,33,0.0,33.0,18,15.0
244,O0083,2026-08-22 10:45:00,C019,D05,2,21,15,42,0.0,42.0,30,12.0
245,O0083,2026-08-22 10:45:00,C019,H07,1,38,21,38,0.0,38.0,21,17.0
